,x,y,S_yx,S_xy,ES,Directionality,Delay
139,IWM-gauge-17,IWM-gauge-759,2.0,2.0,0.04938271604938271,0.0,0.0
140,IWM-gauge-17,IWM-gauge-767,8.0,8.0,0.14035087719298245,0.017543859649122806,1.25
141,IWM-gauge-17,IWM-gauge-770,6.0,6.0,0.10810810810810811,0.036036036036036036,1.5
142,IWM-gauge-17,IWM-gauge-781,2.0,2.0,0.07142857142857142,-0.017857142857142856,-1.5
143,IWM-gauge-17,IWM-gauge-785,3.0,2.0,0.0847457627118644,-0.01694915254237288,-1.5
144,IWM-gauge-17,IWM-gauge-787,2.0,2.0,0.058823529411764705,-0.029411764705882353,-3.5
145,IWM-gauge-17,IWM-gauge-789,1.0,1.0,0.028169014084507043,-0.014084507042253521,-1.0
146,IWM-gauge-17,IWM-gauge-790,2.0,2.0,0.06060606060606061,-0.030303030303030304,-3.0
147,IWM-gauge-17,IWM-gauge-815,3.0,3.0,0.07142857142857142,-0.011904761904761904,0.3333333333333333
148,IWM-gauge-17,IWM-gauge-817,1.0,1.0,0.024390243902439025,-0.012195121951219513,-2.0
149,IWM-gauge-17,IWM-gauge-830,2.0,2.0,0.0625,-0.015625,-1.0
150,IWM-gauge-17,IWM-gauge-836,3.0,3.0,0.06315789473684211,0.010526315789473684,2.0
151,IWM-gauge-17,IWM-gauge-837,1.0,1.0,0.024390243902439025,0.012195121951219513,4.0
152,IWM-gauge-17,IWM-gauge-842,5.0,4.0,0.12857142857142856,0.0,0.75
153,IWM-gauge-17,IWM-gauge-849,4.0,4.0,0.13114754098360656,0.01639344262295082,0.0
154,IWM-gauge-17,IWM-gauge-858,6.0,6.0,0.12121212121212122,0.020202020202020204,2.2
155,IWM-gauge-17,IWM-gauge-861,1.0,1.0,0.030303030303030304,-0.015151515151515152,-1.0
156,IWM-gauge-17,IWM-gauge-873,2.0,2.0,0.0625,0.0,0.0
157,IWM-gauge-17,IWM-gauge-879,6.0,6.0,0.18461538461538463,-0.03076923076923077,-0.16666666666666666
158,IWM-gauge-17,IWM-gauge-884,2.0,2.0,0.06451612903225806,0.0,-0.5
159,IWM-gauge-17,IWM-gauge-885,4.0,4.0,0.10256410256410256,-0.02564102564102564,-2.5
160,IWM-gauge-17,IWM-gauge-896,9.0,10.0,0.1919191919191919,-0.030303030303030304,-1.2
161,IWM-gauge-17,IWM-gauge-898,8.0,8.0,0.21621621621621623,-0.02702702702702703,-1.0
162,IWM-gauge-17,IWM-gauge-907,19.0,20.0,0.3979591836734694,0.05102040816326531,0.8125
163,IWM-gauge-17,IWM-gauge-915,3.0,3.0,0.09090909090909091,0.015151515151515152,1.6666666666666667
164,IWM-gauge-17,IWM-gauge-919,17.0,18.0,0.38461538461538464,-0.0989010989010989,-1.8888888888888888
165,IWM-gauge-17,IWM-gauge-923,5.0,5.0,0.1282051282051282,0.038461538461538464,2.4
166,IWM-gauge-17,IWM-gauge-926,11.0,11.0,0.44,-0.02,-0.4
167,IWM-gauge-17,IWM-gauge-932,19.0,20.0,0.4642857142857143,-0.09523809523809523,-0.65
168,IWM-gauge-17,IWM-gauge-941,13.0,14.0,0.23076923076923078,0.02564102564102564,2.0714285714285716
169,IWM-gauge-17,IWM-gauge-945,0.0,0.0,0.0,0.0,
170,IWM-gauge-17,IWM-gauge-947,0.0,0.0,0.0,0.0,
171,IWM-gauge-17,IWM-gauge-948,1.0,1.0,0.03773584905660377,0.018867924528301886,5.0
172,IWM-gauge-17,IWM-gauge-951,1.0,1.0,0.043478260869565216,0.021739130434782608,5.0
173,IWM-gauge-17,IWM-gauge-953,2.0,3.0,0.07692307692307693,0.0,1.6666666666666667
174,IWM-gauge-17,IWM-gauge-955,3.0,3.0,0.10344827586206896,0.0,0.6666666666666666
175,IWM-gauge-17,IWM-gauge-957,1.0,2.0,0.06818181818181818,0.022727272727272728,5.0
176,IWM-gauge-17,IWM-gauge-960,2.0,3.0,0.09090909090909091,0.0,2.3333333333333335
177,IWM-gauge-17,IWM-gauge-964,2.0,2.0,0.06896551724137931,0.0,-0.5
178,IWM-gauge-17,IWM-gauge-966,0.0,0.0,0.0,0.0,
179,IWM-gauge-17,IWM-gauge-967,0.0,0.0,0.0,0.0,
180,IWM-gauge-17,IWM-gauge-968,1.0,1.0,0.037037037037037035,0.018518518518518517,1.0
181,IWM-gauge-17,IWM-gauge-969,3.0,4.0,0.11864406779661017,0.01694915254237288,3.5
182,IWM-gauge-17,IWM-gauge-970,1.0,1.0,0.03508771929824561,0.017543859649122806,2.0
183,IWM-gauge-17,IWM-gauge-972,4.0,4.0,0.13114754098360656,0.03278688524590164,0.25
184,IWM-gauge-17,IWM-gauge-973,9.0,9.0,0.2465753424657534,-0.0136986301369863,-0.5
185,IWM-gauge-17,IWM-gauge-974,3.0,3.0,0.1875,0.03125,2.0
186,IWM-gauge-17,IWM-gauge-976,5.0,6.0,0.1527777777777778,-0.027777777777777776,-1.0
187,IWM-gauge-17,IWM-gauge-977,2.0,2.0,0.09302325581395349,0.0,-0.5
188,IWM-gauge-17,IWM-gauge-979,2.0,2.0,0.06557377049180328,0.0,-1.0
189,IWM-gauge-17,IWM-gauge-980,0.0,0.0,0.0,0.0,
190,IWM-gauge-17,IWM-gauge-981,0.0,0.0,0.0,0.0,
191,IWM-gauge-17,IWM-gauge-982,1.0,1.0,0.03389830508474576,0.01694915254237288,3.0
192,IWM-gauge-17,IWM-gauge-983,1.0,1.0,0.041666666666666664,0.020833333333333332,3.0
193,IWM-gauge-17,IWM-gauge-984,2.0,2.0,0.0784313725490196,0.0,-2.0
194,IWM-gauge-17,IWM-gauge-986,4.0,5.0,0.125,-0.041666666666666664,-3.0
195,IWM-gauge-17,IWM-gauge-988,4.0,4.0,0.0975609756097561,0.0,0.0
196,IWM-gauge-17,IWM-gauge-989,2.0,2.0,0.043010752688172046,0.021505376344086023,3.0
197,IWM-gauge-17,IWM-gauge-990,5.0,5.0,0.136986301369863,-0.0136986301369863,-0.6
198,IWM-gauge-17,IWM-gauge-992,4.0,4.0,0.12121212121212122,-0.030303030303030304,-2.25
199,IWM-gauge-17,IWM-gauge-993,2.0,2.0,0.06349206349206349,-0.015873015873015872,-0.5
200,IWM-gauge-17,IWM-gauge-995,5.0,5.0,0.11904761904761904,0.0,0.4
201,IWM-gauge-17,IWM-gauge-996,3.0,3.0,0.06741573033707865,0.011235955056179775,0.3333333333333333
202,IWM-gauge-17,IWM-gauge-997,4.0,5.0,0.140625,-0.015625,-0.8
203,IWM-gauge-17,IWM-gauge-999,4.0,5.0,0.12,-0.013333333333333334,-1.75
204,IWM-gauge-17,IWM-gauge-1000,1.0,1.0,0.029850746268656716,0.014925373134328358,4.0
205,IWM-gauge-17,IWM-gauge-1001,1.0,1.0,0.03571428571428571,0.017857142857142856,4.0
206,IWM-gauge-17,IWM-gauge-1004,5.0,6.0,0.14473684210526316,-0.02631578947368421,-1.6666666666666667
207,IWM-gauge-17,IWM-gauge-1006,1.0,1.0,0.03773584905660377,-0.018867924528301886,-5.0
208,IWM-gauge-17,IWM-gauge-1078,2.0,2.0,0.11764705882352941,0.058823529411764705,5.0
209,IWM-gauge-17,IWM-gauge-1103,4.0,5.0,0.06923076923076923,-0.023076923076923078,-1.6
210,IWM-gauge-27,IWM-gauge-27,47.0,47.0,1.0217391304347827,0.0,-0.021739130434782608
211,IWM-gauge-27,IWM-gauge-29,13.0,13.0,0.14054054054054055,0.0,0.5384615384615384
212,IWM-gauge-27,IWM-gauge-32,16.0,15.0,0.256198347107438,0.04132231404958678,0.6
213,IWM-gauge-27,IWM-gauge-36,1.0,1.0,0.029411764705882353,-0.014705882352941176,-4.0
214,IWM-gauge-27,IWM-gauge-40,2.0,2.0,0.0449438202247191,0.0,2.0
215,IWM-gauge-27,IWM-gauge-54,9.0,9.0,0.13740458015267176,-0.007633587786259542,-0.6666666666666666
216,IWM-gauge-27,IWM-gauge-57,7.0,7.0,0.21875,-0.015625,-0.5714285714285714
217,IWM-gauge-27,IWM-gauge-60,8.0,8.0,0.17582417582417584,0.06593406593406594,1.25
218,IWM-gauge-27,IWM-gauge-68,2.0,2.0,0.037383177570093455,-0.018691588785046728,-4.0
219,IWM-gauge-27,IWM-gauge-108,2.0,2.0,0.05405405405405406,0.013513513513513514,2.0
220,IWM-gauge-27,IWM-gauge-109,1.0,1.0,0.03076923076923077,0.015384615384615385,6.0
