,x,y,S_yx,S_xy,ES,Directionality,Delay
63,IWM-gauge-17,IWM-gauge-380,37.0,36.0,0.31196581196581197,-0.04700854700854701,-0.8378378378378378
64,IWM-gauge-17,IWM-gauge-391,39.0,38.0,0.32905982905982906,0.042735042735042736,0.42857142857142855
65,IWM-gauge-17,IWM-gauge-394,45.0,45.0,0.3673469387755102,-0.036734693877551024,-0.7045454545454546
66,IWM-gauge-17,IWM-gauge-396,22.0,22.0,0.205607476635514,0.0,0.0
67,IWM-gauge-17,IWM-gauge-407,25.0,26.0,0.22767857142857142,0.05357142857142857,1.84
68,IWM-gauge-17,IWM-gauge-410,25.0,24.0,0.20851063829787234,0.00425531914893617,-0.2916666666666667
69,IWM-gauge-17,IWM-gauge-411,36.0,35.0,0.27307692307692305,0.0,0.0
70,IWM-gauge-17,IWM-gauge-412,27.0,27.0,0.2488479262672811,-0.009216589861751152,-1.16
71,IWM-gauge-17,IWM-gauge-414,31.0,31.0,0.25203252032520324,-0.0040650406504065045,-0.06666666666666667
72,IWM-gauge-17,IWM-gauge-420,25.0,24.0,0.21973094170403587,0.017937219730941704,-0.13636363636363635
73,IWM-gauge-17,IWM-gauge-423,37.0,37.0,0.2890625,0.0,-0.3333333333333333
74,IWM-gauge-17,IWM-gauge-425,24.0,24.0,0.1991701244813278,-0.004149377593360996,-0.625
75,IWM-gauge-17,IWM-gauge-427,26.0,26.0,0.2222222222222222,0.004273504273504274,-0.16
76,IWM-gauge-17,IWM-gauge-428,36.0,35.0,0.2862903225806452,-0.004032258064516129,-0.11764705882352941
77,IWM-gauge-17,IWM-gauge-429,32.0,33.0,0.2697095435684647,0.024896265560165973,0.46875
78,IWM-gauge-17,IWM-gauge-430,23.0,23.0,0.184,0.0,-0.043478260869565216
79,IWM-gauge-17,IWM-gauge-431,33.0,32.0,0.2653061224489796,0.0163265306122449,0.6129032258064516
80,IWM-gauge-17,IWM-gauge-438,32.0,33.0,0.2708333333333333,0.025,0.46875
81,IWM-gauge-17,IWM-gauge-440,27.0,28.0,0.22,-0.004,-0.35714285714285715
82,IWM-gauge-17,IWM-gauge-441,30.0,31.0,0.27111111111111114,0.06222222222222222,1.2413793103448276
83,IWM-gauge-17,IWM-gauge-446,25.0,25.0,0.2074688796680498,0.0,-0.5416666666666666
84,IWM-gauge-17,IWM-gauge-455,23.0,23.0,0.2062780269058296,-0.004484304932735426,-0.6363636363636364
85,IWM-gauge-17,IWM-gauge-463,23.0,25.0,0.20253164556962025,0.012658227848101266,0.9090909090909091
86,IWM-gauge-17,IWM-gauge-472,31.0,31.0,0.2683982683982684,-0.004329004329004329,-0.35714285714285715
87,IWM-gauge-17,IWM-gauge-473,23.0,25.0,0.20689655172413793,-0.02586206896551724,-0.6521739130434783
88,IWM-gauge-17,IWM-gauge-475,12.0,11.0,0.14743589743589744,0.01282051282051282,0.6
89,IWM-gauge-17,IWM-gauge-486,23.0,25.0,0.20600858369098712,-0.02575107296137339,-0.6521739130434783
90,IWM-gauge-17,IWM-gauge-490,22.0,22.0,0.18106995884773663,-0.00823045267489712,-0.5238095238095238
91,IWM-gauge-17,IWM-gauge-491,23.0,24.0,0.21559633027522937,0.0,0.375
92,IWM-gauge-17,IWM-gauge-494,29.0,30.0,0.25213675213675213,0.029914529914529916,0.6785714285714286
93,IWM-gauge-17,IWM-gauge-503,17.0,17.0,0.19101123595505617,-0.0056179775280898875,0.17647058823529413
94,IWM-gauge-17,IWM-gauge-504,17.0,17.0,0.19767441860465115,0.011627906976744186,-0.058823529411764705
95,IWM-gauge-17,IWM-gauge-505,28.0,28.0,0.23140495867768596,0.004132231404958678,-0.21428571428571427
96,IWM-gauge-17,IWM-gauge-506,11.0,11.0,0.13414634146341464,-0.024390243902439025,-1.4545454545454546
97,IWM-gauge-17,IWM-gauge-507,21.0,21.0,0.23076923076923078,-0.06043956043956044,-1.7142857142857142
98,IWM-gauge-17,IWM-gauge-508,18.0,18.0,0.22641509433962265,-0.025157232704402517,-0.6111111111111112
99,IWM-gauge-17,IWM-gauge-510,13.0,14.0,0.16875,0.0125,0.0
100,IWM-gauge-17,IWM-gauge-511,16.0,16.0,0.18181818181818182,-0.005681818181818182,-0.2
101,IWM-gauge-17,IWM-gauge-512,18.0,18.0,0.20809248554913296,0.017341040462427744,0.6111111111111112
102,IWM-gauge-17,IWM-gauge-514,21.0,21.0,0.17796610169491525,-0.00423728813559322,-0.8571428571428571
103,IWM-gauge-17,IWM-gauge-515,10.0,11.0,0.12280701754385964,-0.011695906432748537,-0.18181818181818182
104,IWM-gauge-17,IWM-gauge-516,28.0,28.0,0.22950819672131148,0.004098360655737705,-0.15384615384615385
105,IWM-gauge-17,IWM-gauge-517,29.0,28.0,0.24568965517241378,0.004310344827586207,-0.2
106,IWM-gauge-17,IWM-gauge-526,21.0,21.0,0.18834080717488788,0.0,0.38095238095238093
107,IWM-gauge-17,IWM-gauge-527,14.0,14.0,0.16279069767441862,-0.011627906976744186,0.42857142857142855
108,IWM-gauge-17,IWM-gauge-530,17.0,17.0,0.192090395480226,-0.022598870056497175,-0.29411764705882354
109,IWM-gauge-17,IWM-gauge-532,16.0,16.0,0.18497109826589594,-0.005780346820809248,-0.125
110,IWM-gauge-17,IWM-gauge-538,25.0,25.0,0.21008403361344538,0.004201680672268907,0.041666666666666664
111,IWM-gauge-17,IWM-gauge-542,20.0,21.0,0.1729957805907173,-0.03375527426160337,-1.1
112,IWM-gauge-17,IWM-gauge-549,24.0,23.0,0.21171171171171171,-0.018018018018018018,-0.5217391304347826
113,IWM-gauge-17,IWM-gauge-551,19.0,19.0,0.22093023255813954,0.005813953488372093,0.5
114,IWM-gauge-17,IWM-gauge-552,21.0,21.0,0.24,-0.04,-0.9
115,IWM-gauge-17,IWM-gauge-556,16.0,16.0,0.1951219512195122,0.0,0.1875
116,IWM-gauge-17,IWM-gauge-560,24.0,25.0,0.2149122807017544,0.021929824561403508,1.125
117,IWM-gauge-17,IWM-gauge-580,31.0,31.0,0.26956521739130435,0.017391304347826087,0.06451612903225806
118,IWM-gauge-17,IWM-gauge-598,31.0,33.0,0.270042194092827,0.02531645569620253,0.6129032258064516
119,IWM-gauge-17,IWM-gauge-603,34.0,35.0,0.3165137614678899,0.022935779816513763,0.058823529411764705
120,IWM-gauge-17,IWM-gauge-609,20.0,21.0,0.1774891774891775,0.004329004329004329,-0.05
121,IWM-gauge-17,IWM-gauge-612,43.0,42.0,0.36324786324786323,0.038461538461538464,0.6923076923076923
122,IWM-gauge-17,IWM-gauge-628,35.0,36.0,0.29583333333333334,0.0375,1.1111111111111112
